subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,r
3,audio,different_sds,2,4,1,3211.660287,0.02,2,58.73405701,1,4,8
3,audio,different_sds,1,1,0,3341.431653,4.00E-05,2,106.450674,0,1,4
3,audio,different_sds,1,3,1,2741.527691,3.00E-04,1,308.7947292,1,3,2
3,audio,different_sds,2,1,1,2642.749617,4.00E-05,2,232.699874,0,1,5
3,audio,different_sds,1,1,0,2986.794913,4.00E-05,2,234.0750832,0,1,4
4,audio,different_sds,2,1,1,2508.477932,2.00E-04,2,223.3138711,0,2,5
4,audio,different_sds,1,2,1,2801.195662,0.02,1,128.2344666,1,4,3
4,audio,different_sds,1,1,1,2456.082251,4.00E-05,1,342.8185868,0,1,4
4,audio,different_sds,1,1,1,2652.920013,4.00E-05,1,286.9135835,1,1,4
4,audio,different_sds,2,2,1,3023.123471,0.02,2,109.4503394,1,4,6
4,audio,different_sds,1,1,0,2712.257989,2.00E-04,2,131.9619883,1,2,4
1,audio,different_sds,1,3,1,2592.438031,2.00E-04,1,238.4499719,1,2,2
1,audio,different_sds,2,2,1,2569.579965,3.00E-04,2,76.81580624,0,3,6
1,audio,different_sds,2,2,1,3091.10388,0.02,2,21.4632556,1,4,6
1,audio,different_sds,2,1,0,2705.209053,3.00E-04,1,29.30602476,0,3,5
1,audio,different_sds,1,2,1,2705.651483,3.00E-04,1,87.04248124,1,3,3
1,audio,different_sds,2,2,1,2475.768593,2.00E-04,2,52.94148637,1,2,6
2,audio,different_sds,1,1,0,2237.075915,0.02,2,160.9532614,0,4,4
